address,id,inspector,comment,number,x,y,visitors,Name
"Remniku küla, Alutaguse vald, Ida-Viru maakond",152,,,EEVIV2023LTA0066,6546560.263,703302.147,,Remniku laagri supluskoht
"Tõrva linn, Tõrva vald, Valga maakond",62,Väino Ratasepp,,,6430014,614466,200,Riiska järve supluskoht
"Randvere küla, Viimsi vald, Harju maakond",233,,,EEVHA2023APL0345,6603314.332,545201.767,,Rohuneeme rand
"Järve, 73203 Allikjärve küla, Paide linn",232,,,EEVJA2023VMOS0030,6543568.859,597500.714,,Roosna-Alliku Tehisjärv
"Elbiku küla / Ölbäck, Lääne-Nigula vald, Lääne maakond",155,Lea Kiis,,EEVLA2023LK0037,6557590.815,472305.606,1000,Roosta rand
"Suurjärv, Rõuge alevik, Rõuge vald, Võru maakond",178,,,EEVVO2023ILIN0017,6402382.21,673997.78,30,Rõuge Suurjärve supluskoht
"Kukulinna küla, Tartu vald, Tartu maakond",82,Väino Ratasepp,,,6490937.142,657046.274,200,Saadjärve Kukulinna
"Tabivere alevik, Tartu vald, Tartu maakond",85,Väino Ratasepp,,,6493333.812,651651.75,250,Saadjärve Tabivere supluskoht
"Salmistu küla, Kuusalu vald, Harju maakond",226,,,,6595810.84,578442.162,,Salmistu ranna parempoolne ala
Sillamäe linn,128,,,EEVIV2023ANNAK0028,6590406.036,714551.257,11000,Sillamäe supluskoht
"Sindi linn, Tori vald, Pärnu maakond",148,,,EEVPA2023RT0074,6475008.068,538826.015,,Sindi väliujula (Pärnu jõgi)
"Suure-Jaani linn, Põhja-Sakala vald, Viljandi maakond",210,,,,6489265.918,585562.547,,Suure-Jaani paisjärv
"Tamula rand, Võru linn",76,Kaili Luik,,,6415357.26,677517.834,300,Tamula järve rand
"Tarbja tehisjärv, 72759 Tarbja küla, Paide linn",102,Laura Kikkas,,,6532445.486,590922.097,100,Tarbja tehisjärv
"Toila alevik, Toila vald, Ida-Viru maakond",125,Jelena Dmitrijeva,,VXX2023TU0826,6592939.347,700306.4,3000,Toila rand
"Tõravere alevik, Nõo vald, Tartu maakond",207,,,,6461217.303,644907.605,,Tõravere keskmine tiik
"Observatooriumi tn 5, Tõravere alevik, Nõo vald, Tartu maakond",206,,,,6461142.586,644957.87,,Tõravere suur tiik
"Hiiumaa vald, Hiiu maakond",145,Kaia Adelman,,EEVHI2023KK0034,6545318,424694,,Tõrvanina supluskoht
"Tsitre küla, Kuusalu vald, Harju maakond",228,,,,6598876.113,585571.384,,Tsitre rand
"Saaremaa vald, Saare maakond",167,,,,6496686.409,413478.27,,Tuhkana supluskoht
"Tehisjärve, 72213 Türi linn, Türi vald, Järva maakond",95,Laura Kikkas,,,6519835.6,583201.7,200,Türi tehisjärv
"Kallaste küla, Muhu vald, Saare maakond",198,,,,6502758.8,456505.2,,Ujumiskoht Üügu panga juures
"Vääna-Jõesuu küla, Harku vald, Harju maakond",109,Jelena Gromova,,,6588717.274,519919.914,1000,Vääna-Jõesuu rand
"Väätsa alevik, Türi vald, Järva maakond",231,,,EEVJA2023VMOS0032,6529329.696,583916.246,,Väätsa paisjärv
"Vaibla küla, Viljandi vald, Viljandi maakond",188,,,EEVVI2022MM0046,6476336.77,619569.86,,Vaibla supluskoht Võrtsjärve ääres
"Haapsalu linn, Haapsalu linn",165,,,EEVLA2023LK0036,6533928.61,472585.55,,Väike-Viik
"Uderna küla, Elva vald, Tartu maakond",324,Margit Matt,,EEVTA2023MM0068,6454608,642671,,Vaikne järve supluskoht
"Väinjärv, 73021 Väinjärve küla, Järva vald, Järva maakond",96,Laura Kikkas,,,6535493.187,620241.71,100,Väinjärv
"Männiku küla, Saku vald, Harju maakond",220,,,,6577717.838,539403.144,,Valdeku karjäär
