,name,type,wikipedia,abbrev,geometry
212,Yantai,major and military,http://en.wikipedia.org/wiki/Yantai_Laishan_International_Airport,YNT,POINT (121.37204741777312 37.407704472692394)
213,Peace River,mid,http://en.wikipedia.org/wiki/Peace_River_Airport,YPE,POINT (-117.4436632080815 56.231924036744985)
214,Greater Moncton Int'l,mid,http://en.wikipedia.org/wiki/Greater_Moncton_International_Airport,YQM,POINT (-64.68866968073613 46.11620596392595)
215,Sydney/J.A. Douglas McCurdy,mid,http://en.wikipedia.org/wiki/Sydney_Airport_(Nova_Scotia),YQY,POINT (-60.04693721170264 46.16734058905036)
216,Resolute Bay,mid,http://en.wikipedia.org/wiki/Resolute_Bay_Airport,YRB,POINT (-94.97080232440061 74.71818609875942)
217,Fort Smith,mid,http://en.wikipedia.org/wiki/Fort_Smith_Airport,YSM,POINT (-111.96105993815773 60.01987496024426)
218,Thompson,mid,http://en.wikipedia.org/wiki/Thompson_Airport,YTH,POINT (-97.860733 55.797482)
219,Timmins,mid,http://en.wikipedia.org/wiki/Timmins_Airport,YTS,POINT (-81.372047 48.566158)
220,Repulse Bay,mid,http://en.wikipedia.org/wiki/Repulse_Bay_Airport,YUT,POINT (-86.25 66.533302)
221,Kuujjuaq,mid,http://en.wikipedia.org/wiki/Kuujjuaq_Airport,YVP,POINT (-68.433342 58.101959)
222,Wabush,mid,http://en.wikipedia.org/wiki/Wabush_Airport,YWK,POINT (-66.873009 52.926071)
223,Edmonton City Centre,mid,http://en.wikipedia.org/wiki/Edmonton_City_Centre_(Blatchford_Field)_Airport,YXD,POINT (-113.52297368858079 53.57094365828116)
224,Fort St. John (N. Peace),mid,http://en.wikipedia.org/wiki/Fort_St._John_Airport,YXJ,POINT (-120.736439 56.246035)
225,North Bay/Jack Garland,mid,http://en.wikipedia.org/wiki/North_Bay/Jack_Garland_Airport,YYB,POINT (-79.42491 46.358711)
226,Zaria,mid,http://en.wikipedia.org/wiki/Zaria_Airport,ZAR,POINT (7.687267643105769 11.135295860107082)
227,Skopje,mid,http://en.wikipedia.org/wiki/Skopje_Airport,SKP,POINT (21.62819718582291 41.95645460815443)
228,Burnpur,mid,http://en.wikipedia.org/wiki/Burnpur_Airport,VE23,POINT (86.97454677657299 23.631217910776442)
229,Hindon Air Force Station,mid,http://en.wikipedia.org/wiki/Hindon_Air_Force_Station,VIDX,POINT (77.35078887791173 28.70779686010708)
230,Sunchon,major,http://en.wikipedia.org/wiki/Sunchon_Airport,,POINT (125.89082505748561 39.411965971056546)
