osm_id,code,fclass,name,x,y
"696272142","2082",school,Naim Frashëri,21.231,42.175
"696272143","2082",school,Idriz Seferi,21.245,42.203
"697048675","2082",school,Kadri Zeka,21.275,42.214
"697053133","2204",park,,21.258,42.228
"697246326","2724",memorial,Skënderbeu,21.256,42.230
"698052786","2252",pitch,,20.740,42.362
"699897393","2252",pitch,,20.855,42.882
"700676614","2251",sports_centre,Besnik Begunca,21.254,42.228
"700697017","2724",memorial,Dëshmorët e Kaçanikut,21.222,42.272
"701876273","2011",embassy,Ambasada e Shteteve të Bashkuara në Prishtinë,21.141,42.656
"702273256","2513",florist,,20.745,42.220
"702434601","2544",furniture_shop,migros,21.447,42.467
"703233554","2204",park,Centralni park,20.801,43.103
"704183583","2253",swimming_pool,,21.452,42.458
"704772610","2504",mall,Avenue - Your Lifestyle,21.143,42.617
"706026661","2252",pitch,,21.102,42.641
"706026662","2251",sports_centre,,21.102,42.641
"706026665","2501",supermarket,Viva Fresh Store,21.097,42.640
"706162490","2301",restaurant,"Restaurant Pizzeria Čair",21.024,42.239
"706945764","2082",school,"Shkolla e Mesme Xhevdet Doda",21.147,42.655
"708213620","2301",restaurant,Shaqa Petrol,21.462,42.449
"708214075","2301",restaurant,Gersheta,21.452,42.531
"708231088","2563",car_rental,Luli,21.457,42.466
"708453504","2084",college,,20.873,42.897
"715008576","2501",supermarket,Interex,21.364,42.327
"715011994","2204",park,,21.356,42.315
"715012001","2501",supermarket,Mediteran,21.364,42.335
"715982618","2303",cafe,Edi Club,21.153,42.654
"717601248","2252",pitch,,20.863,42.890
"717606999","2016",market_place,,20.864,42.888
"717954832","2301",restaurant,,21.348,42.320
"718110777","2204",park,,21.450,42.306
"718110786","2964",water_works,,21.448,42.307
"718110788","2962",water_well,,21.447,42.307
"718110789","2301",restaurant,,21.450,42.306
"720893393","2111",clinic,Qendra e Mjekësisë Familjare,21.079,42.725
"721313167","2303",cafe,,21.374,42.373
"721744922","2204",park,,21.361,42.323
"721744923","2204",park,,21.357,42.315
"721744932","2252",pitch,,21.363,42.318
"722047177","2012",community_centre,,21.519,42.509
"722047197","2561",hairdresser,Berber Usta Zijahi,21.518,42.509
"722053696","2253",swimming_pool,,21.476,42.459
"723686280","2564",car_wash,,21.471,42.456
"723686281","2564",car_wash,,21.471,42.456
"723719029","2082",school,,21.416,42.376
